iso2,iso3,lat,lon
AG,ATG,17.078,-61.783
DZ,DZA,28.163,2.632
AZ,AZE,40.43,47.395
AL,ALB,41.143,20.068
AM,ARM,40.534,44.563
AO,AGO,-12.296,17.544
AS,ASM,-14.318,-170.73
AR,ARG,-35.377,-65.167
AU,AUS,-24.973,136.189
BH,BHR,26.019,50.562
BB,BRB,13.153,-59.559
BM,BMU,32.336,-64.709
BS,BHS,24.628,-78.014
BD,BGD,24.218,89.941
BZ,BLZ,17.219,-88.602
BA,BIH,44.169,17.786
BO,BOL,-16.715,-64.671
MM,MMR,21.718,96.041
BJ,BEN,10.541,2.469
SB,SLB,-9.611,160.109
BR,BRA,-10.772,-53.089
BG,BGR,42.761,25.231
BN,BRN,4.468,114.591
CA,CAN,59.081,-109.433
KH,KHM,12.714,104.564
LK,LKA,7.612,80.704
CG,COG,-0.055,15.986
CD,COD,-2.876,23.654
BI,BDI,-3.356,29.887
CN,CHN,33.42,106.514
AF,AFG,33.677,65.216
BT,BTN,27.415,90.429
CL,CHL,-23.389,-69.433
KY,CYM,19.314,-81.198
CM,CMR,5.133,12.277
TD,TCD,15.361,18.665
KM,COM,-11.758,43.337
CO,COL,3.9,-73.076
CR,CRI,9.971,-83.946
CF,CAF,6.571,20.483
CU,CUB,21.297,-77.781
CV,CPV,15.071,-23.634
CK,COK,-21.219,-159.782
CY,CYP,35.043,33.219
DK,DNK,56.058,9.264
DJ,DJI,11.9,42.516
DM,DMA,15.475,-61.356
DO,DOM,19.015,-70.729
EC,ECU,-1.385,-78.497
EG,EGY,26.494,29.872
IE,IRL,53.177,-8.152
GQ,GNQ,1.607,10.488
EE,EST,58.674,25.793
ER,ERI,16.045,38.219
SV,SLV,13.736,-88.866
ET,ETH,8.626,39.616
AT,AUT,47.683,14.912
CZ,CZE,49.743,15.338
GF,GUF,3.924,-53.241
FI,FIN,64.504,26.272
FJ,FJI,-17.819,177.974
FK,FLK,-51.665,-58.694
FM,FSM,6.883,158.235
PF,PYF,-17.626,-149.462
FR,FRA,46.565,2.55
GM,GMB,13.453,-15.386
GA,GAB,-0.591,11.797
GE,GEO,42.176,43.518
GH,GHA,7.96,-1.207
GD,GRD,12.118,-61.678
GL,GRL,74.719,-41.391
DE,DEU,51.11,9.851
GU,GUM,13.385,144.707
GR,GRC,39.666,21.766
GT,GTM,15.256,-90.398
GN,GIN,10.439,-10.942
GY,GUY,4.792,-58.974
HT,HTI,19.142,-72.278
HN,HND,14.819,-86.863
HR,HRV,45.723,16.693
HU,HUN,47.07,19.134
IS,ISL,64.764,-18.48
IN,IND,21.0,78.5
IR,IRN,32.565,54.301
IL,ISR,31.026,34.851
IT,ITA,42.7,12.8
CI,CIV,7.632,-5.556
IQ,IRQ,33.048,43.772
JP,JPN,36.491,139.068
JM,JAM,18.151,-77.32
JO,JOR,30.703,36.319
KE,KEN,0.53,37.858
KG,KGZ,41.465,74.555
KP,PRK,39.778,126.451
KI,KIR,-1.508,175.036
KR,KOR,36.504,128.103
KW,KWT,29.476,47.376
KZ,KAZ,48.16,67.301
LA,LAO,19.905,102.471
LB,LBN,33.92,35.888
LV,LVA,56.858,25.641
BY,BLR,53.54,28.047
LT,LTU,55.336,23.897
